first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
זהבה,אילני,זהבה אילני,מנהלת סיעת המחנה הציוני,1,2016-12-28,,,זהבה אילני - מנהלת סיעת המחנה הציוני
מזכירת,הכנסת ירדנה מלר,מזכירת הכנסת ירדנה מלר,הורוביץ,1,2017-01-09,,,מזכירת הכנסת ירדנה מלר-הורוביץ
אשר,רוכברגר,אשר רוכברגר,"עמותת ""נכה לא חצי בן אדם""",1,2017-01-09,,,"אשר רוכברגר - עמותת ""נכה לא חצי בן אדם"""
אפרת,פוקס – מתאמת קשר כנסת,אפרת פוקס – מתאמת קשר כנסת,"ממשלה, משרד ראש הממשלה",1,2017-01-16,משרד ראש הממשלה,ממשלה,"אפרת פוקס – מתאמת קשר כנסת-ממשלה, משרד ראש הממשלה"
אריאלה,מלכה,אריאלה מלכה,"מנהלת הוועדה המיוחדת בהצעת החוק להגברת התחרות ולצמצום הריכוזיות בשוק הבנקאות ובהצ""ח התכנון והבניה (תיקון – פיצול דירות) ובסעיפים מהצעת חוק ההסדרים.",1,2017-01-23,,,"אריאלה מלכה  - מנהלת הוועדה המיוחדת בהצעת החוק להגברת התחרות ולצמצום הריכוזיות בשוק הבנקאות ובהצ""ח התכנון והבניה (תיקון – פיצול דירות) ובסעיפים מהצעת חוק ההסדרים."
גלעד,קרן,גלעד קרן,"יועץ משפטי, הלשכה המשפטית",1,2017-01-23,הלשכה המשפטית,יועץ משפטי,"גלעד קרן - יועץ משפטי, הלשכה המשפטית"
מנהל,"אגף בכיר ביקורת המדינה, משרד רה""מ","מנהל אגף בכיר ביקורת המדינה, משרד רה""מ",יאיר יששכר וולף,10,2016-11-02,,,"מנהל אגף בכיר ביקורת המדינה, משרד רה""מ  - יאיר יששכר וולף"
מנהלת,"תחום ביקורת ומעקב, משרד רה""מ","מנהלת תחום ביקורת ומעקב, משרד רה""מ",רחל סילביה מרדכי,10,2016-11-02,,,"מנהלת תחום ביקורת ומעקב, משרד רה""מ  - רחל סילביה מרדכי"
מנהל,"אגף, משרד מבקר המדינה","מנהל אגף, משרד מבקר המדינה",אוהד דבי,10,2016-11-02,,,"מנהל אגף, משרד מבקר המדינה  - אוהד דבי"
עוזרת,"למנהל חטיבה, משרד מבקר המדינה","עוזרת למנהל חטיבה, משרד מבקר המדינה",צפורה שלזינגר,10,2016-11-02,,,"עוזרת למנהל חטיבה, משרד מבקר המדינה  - צפורה שלזינגר"
מנהל,"אגף בכיר, משרד מבקר המדינה","מנהל אגף בכיר, משרד מבקר המדינה",אהרן הלינגר,10,2016-11-02,,,"מנהל אגף בכיר, משרד מבקר המדינה  - אהרן הלינגר"
